1.542210825407940744e+00 0.000000000000000000e+00
1.522195732851331806e+00 1.777071781210776266e-03
1.490837939255113431e+00 2.796261665601056014e-04
1.469082355661748052e+00 2.481362913133399167e-04
1.456339664264464817e+00 1.159211938296166267e-04
1.443205468316967055e+00 8.654708435087893933e-05
1.435921289647759780e+00 5.606213598188327811e-05
1.432929642808604687e+00 4.266635712252594943e-05
1.427280378164512920e+00 3.114343620856657176e-05
1.423981681524467025e+00 2.114218294423648287e-05
1.420046875383039975e+00 1.742319622870320737e-05
1.417766876729733561e+00 1.404241591606895879e-05
1.416508767375690203e+00 1.124371119238646002e-05
1.414250747689962173e+00 1.007516327913898455e-05
1.412719225386253497e+00 7.348127961250894650e-06
1.410833590584932296e+00 6.507860314200732214e-06
1.409615013967786545e+00 5.402263756036721587e-06
1.408735714487622026e+00 4.653084081845818865e-06
1.407677733158979150e+00 3.988793578494941714e-06
1.406921356262736067e+00 3.957183783502189880e-06
1.405656707041968989e+00 3.445898862240208605e-06
1.404920425802210993e+00 2.944752436654260528e-06
1.404423707435737079e+00 2.700727864231258310e-06
1.403805311306371539e+00 2.320590195552976535e-06
1.403269395738387271e+00 2.068991813378053527e-06
1.402513196904069837e+00 2.070244607290294520e-06
1.402033080738814830e+00 1.871373311168586080e-06
1.401653883080912877e+00 1.626386009971678897e-06
1.401197466708945072e+00 1.541009432914772565e-06
1.400882500278667564e+00 1.271023094517265560e-06
1.400308991394642266e+00 1.255760646503320825e-06
