1	10	3	1	5	4	3	0	0
2091	793	324	3402	161	3989	2043	275	5795
18161	31711	2030	8190	578	28774	2928	415	24030
10551	2664	2077	17473	891	9097	11206	1980	27961
123021	121179	16587	66727	7159	124347	30535	5809	156124
25218	4118	6405	45428	3007	7668	28712	6501	67664
405906	232953	62951	253019	36247	230768	113597	29049	515450
43504	4513	13353	78111	6177	6536	47317	14350	112993
892563	325600	158029	600746	110918	354306	254570	86329	1163336
55195	4312	21772	104651	9978	6615	59836	23943	151564
1507517	382674	305068	1045568	254710	512558	434082	187837	2080264
60923	3488	29503	118964	12735	6389	65177	32993	172658
2129073	405939	486295	1476898	464748	708693	632973	331136	3160896
57144	2898	36145	121204	14111	5806	64189	39774	166189
2652386	402711	675522	1812368	725905	1013943	821354	513939	4286943
48707	2050	40629	116896	14486	4510	58631	43239	142630
2998011	377079	851910	2007578	1003520	1436979	989206	718915	5268370
37815	1261	43549	115099	14402	2666	51265	44038	113721
3123760	339279	995846	2099860	1282304	1955947	1143431	942680	5947246
27287	730	44873	116064	14258	1358	43170	43034	84566
3028504	307327	1109682	2165358	1547410	2484032	1282236	1179972	6219519
18488	325	46396	112913	14128	1106	36608	40501	60322
2756506	288944	1194758	2244931	1792481	2925697	1400624	1430534	6083903
11870	143	46593	102696	14157	1737	31125	38393	42009
2385720	282017	1257943	2307994	2006080	3251413	1488347	1674178	5645259
7552	80	45615	84221	13806	2778	27140	35920	28635
2008364	285973	1304245	2289387	2177009	3402143	1541770	1910826	5016928
5306	28	44541	62894	13700	4433	23354	33755	20960
1707251	293105	1339404	2162837	2303056	3433340	1563312	2126403	4267702
4569	0	42766	41541	13399	6224	20217	31409	16578
1518465	308824	1372219	1930458	2403494	3408211	1555952	2307634	3484435
5382	78	39704	25231	13408	7292	16887	29260	13558
1445664	339866	1395629	1635381	2484673	3389094	1535571	2458110	2725871
7287	253	36744	14114	13564	8072	13978	27422	10457
1480595	385587	1424528	1335207	2564008	3444456	1521651	2563864	2030473
9677	514	32960	7475	14245	8033	12100	25899	7389
1615208	445657	1459060	1077035	2650846	3567452	1518781	2642103	1435774
12828	1120	29565	3874	14759	7160	10924	24926	5027
1828567	526199	1497551	867494	2751057	3758199	1551562	2699686	983171
15636	1903	27211	1972	15869	5678	11084	23742	3204
2085691	621279	1544766	712192	2865637	4014936	1624936	2734560	673591
17986	2747	25548	1145	17506	4480	12373	22816	2113
2332949	740932	1607745	599785	2993002	4285236	1761577	2766341	499113
19699	3561	24109	753	19835	3783	14204	22688	1303
2530251	879395	1676012	519840	3140328	4493738	1968741	2784995	440177
20608	4486	22751	739	21738	2940	16845	22364	904
2640443	1055073	1751528	468618	3281808	4588624	2228196	2787561	473794
19996	5725	21787	853	23033	2485	19540	22065	595
2666132	1278709	1819870	441561	3425755	4590869	2535741	2783930	570787
19031	7294	20963	1114	23825	2181	22266	22491	351
2619553	1547062	1879676	434169	3547315	4503827	2866736	2769592	691908
17312	9099	19716	1649	24373	2185	24553	22457	195
2507913	1860538	1934349	446978	3646124	4342003	3202511	2752407	794953
15388	11800	19396	2249	24961	2119	27106	22369	230
2354501	2211553	1986033	475386	3717626	4092142	3512027	2728057	849910
14178	14812	19513	2578	24798	1664	28587	22113	361
2180395	2615440	2031163	515634	3757560	3737308	3763481	2708191	859203
13286	18606	20185	2918	24927	726	29982	22022	541
2015207	3059419	2090737	564204	3753813	3299792	3918858	2699867	848504
14300	22844	20551	3234	24349	242	29427	21824	655
1884587	3551346	2177321	610858	3711505	2855117	3942468	2705679	872277
15267	26710	20343	3241	23771	48	26941	22394	905
1832925	4078421	2292716	645864	3629093	2482629	3826977	2740557	978636
15296	30071	20309	2841	22291	0	23512	23297	1496
1891020	4643095	2451165	674175	3501137	2234030	3617996	2813858	1196439
14354	33192	19668	2450	20437	0	18564	25111	2967
2083473	5174991	2656912	703592	3337627	2056811	3360828	2945403	1505034
13637	34233	18975	2118	18035	0	13755	28091	5113
2410894	5645843	2917522	743683	3132318	1907045	3120628	3119359	1868933
14756	34551	19160	1829	15829	0	9802	31726	7150
2886891	6080144	3244091	816148	2916114	1737554	2963816	3343678	2237321
18481	35264	19745	1711	14050	0	6466	36824	7947
3468516	6457903	3623416	957095	2705313	1515144	2905636	3578366	2580396
24117	38192	21189	2320	12902	0	4277	42019	7715
4063495	6747550	4063022	1218808	2503082	1252966	2947182	3796373	2875705
30655	43982	23406	4009	12567	0	2400	47665	6592
4507439	6852290	4537005	1662873	2326113	958067	3069183	3944401	3102336
36855	49120	27144	6531	12928	0	1391	53675	4613
4595939	6725830	5009850	2363134	2169239	681238	3241124	3951778	3204015
40436	53609	31665	11615	14194	0	935	57886	2521
4182793	6293115	5383482	3438422	2009420	426158	3410058	3792432	3115337
41122	53128	36147	21165	14734	0	693	59362	1106
3314256	5493239	5560091	4974908	1824477	228684	3517697	3419287	2795328
36955	47213	40471	39262	15703	0	509	57423	468
2222936	4306700	5413258	6948174	1598654	107595	3477820	2830436	2267127
28590	34334	41606	68006	15916	0	435	50779	209
1260219	2891229	4864038	8967684	1319259	40262	3196193	2090690	1581654
18130	18364	39634	102402	15912	0	331	39457	70
588602	1583198	3911051	10191857	985750	7869	2598577	1290614	875609
9115	5792	32767	127991	14544	0	143	25137	0
213910	652533	2748862	9537944	605952	0	1779534	630476	330568
3420	0	22447	128711	10446	0	0	10487	0
33827	200539	1627397	6859737	260928	0	948000	225508	93932
0	0	12269	101100	4700	0	0	3271	0
0	0	757225	3381121	48843	0	317046	56185	11719
0	0	5659	57994	455	0	0	833	0
0	0	230437	728519	0	0	23948	0	0
0	0	2152	13249	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
